Район Комнаты Этаж Цена Идентификатор
Заводской 4 8 41200 8Y6Y
Заводской 2 2 27160 0J74
Советский 1 3 17260 Y3F7
Партизанский 4 7 29200 2A8O
Ленинский 4 6 31600 4EP0
Первомайский 4 10 12400 I991
Советский 4 8 36400 SHK8
Первомайский 2 5 22000 T23Q
Первомайский 1 10 10600 NV74
Московский 2 3 25840 Q205
Ленинский 4 7 31600 5G85
Октябрьский 1 4 16600 O932
Заводской 2 11 28720 X70A
Советский 1 8 16600 G954
Октябрьский 2 10 11320 1YDG
Заводской 4 11 47440 BL44
Партизанский 2 11 21520 32I5
Московский 4 4 38800 3986
Партизанский 3 3 25840 60ER
Октябрьский 4 6 36400 62YV
Заводской 4 11 47440 JQHS
Советский 2 9 24520 60Y9
Заводской 4 3 44320 1A73
Партизанский 3 12 30160 ADX6
Заводской 1 2 18580 910B
Первомайский 2 12 26800 KUGN
Первомайский 2 10 11200 7FCR
Советский 3 3 31780 08I2
Московский 4 9 41680 44J7
Московский 2 3 25840 AU3H
Партизанский 1 9 15280 S892
Заводской 2 3 27160 1Z14
Октябрьский 2 10 11320 XWDD
Ленинский 1 3 15940 46MY
Первомайский 4 4 34000 KPM6
Партизанский 3 1 27280 OZEG
Ленинский 2 1 22960 1B5X
Первомайский 4 3 36400 4OJO
Заводской 2 4 25600 SNT4
Советский 3 4 29800 EK7P
Советский 1 12 19240 AOPA
Ленинский 1 5 15400 46O9
Советский 2 1 25840 DUG5
Заводской 4 12 53680 9XPW
Ленинский 2 9 21880 R99Y
Октябрьский 1 8 16600 P3VS
Советский 1 6 16600 6U0M
Ленинский 3 7 26200 73R5
Ленинский 2 11 22960 5JLM
Советский 2 8 23200 8QYE
Заводской 4 5 41200 2395
Ленинский 2 4 20800 Y1M8
Первомайский 3 8 28000 S79H
Первомайский 3 9 29800 3EC0
Ленинский 1 4 15400 A04Z
Первомайский 4 10 12400 A35R
Партизанский 3 9 25840 Z7CA
Октябрьский 4 12 46960 F25H
Советский 1 12 19240 UG8Y
Партизанский 2 1 21520 6S8K
Московский 3 5 31600 53G6
Заводской 3 7 33400 R4DP
Заводской 3 7 33400 JEC7
Ленинский 4 3 33760 4M58
Ленинский 1 10 10540 0F9I
Заводской 4 4 41200 M19D
Ленинский 4 6 31600 AI88
Московский 1 7 17200 Q25D
Заводской 4 3 44320 V9Y5
Заводской 2 4 25600 RB34
Партизанский 3 5 24400 33R0
Ленинский 2 3 21880 TD53
Московский 3 1 35920 1I70
Заводской 2 12 31840 CJFQ
Московский 3 4 31600 2UY1
Заводской 2 10 11560 0X63
Заводской 2 12 31840 WMFO
Октябрьский 2 6 23200 AGJQ
Первомайский 1 5 16000 U34V
Заводской 2 8 25600 G173
Ленинский 3 10 11620 6K89
Партизанский 2 7 19600 943A
Ленинский 1 4 15400 M319
Ленинский 3 9 27820 8E58
Московский 2 3 25840 TGWY
Советский 3 5 29800 KXSI
Советский 3 2 31780 4266
Ленинский 4 1 35920 I6UT
Первомайский 1 5 16000 8F70
Московский 4 5 38800 J36C
Октябрьский 2 11 25840 YA5M
Первомайский 1 2 16600 HKC3
Первомайский 3 8 28000 XW27
Заводской 4 5 41200 VZ4P
Советский 2 1 25840 G64V
Заводской 4 4 41200 J27J
Октябрьский 1 4 16600 D33V
Октябрьский 1 4 16600 8FRR
Партизанский 1 2 15280 6G8A
Партизанский 1 4 14800 KMGV
Октябрьский 2 1 25840 NM9B
Заводской 3 3 35740 8965
Первомайский 1 11 17200 HTXE
Партизанский 4 8 29200 GLPL
Партизанский 1 2 15280 MJ7O
Заводской 4 8 41200 KN97
Октябрьский 1 6 16600 4089
Первомайский 3 1 31600 J6TE
Московский 2 6 24400 3AD6
Советский 2 10 11320 2N61
Партизанский 3 8 24400 2Y70
Московский 1 6 17200 A493
Заводской 4 9 44320 9987
Первомайский 1 6 16000 Q78L
Октябрьский 4 7 36400 T39E
Советский 4 7 36400 375Y
Октябрьский 1 3 17260 6317
Партизанский 2 11 21520 1CHT
Заводской 1 2 18580 C529
Заводской 3 8 33400 R92N
Октябрьский 2 10 11320 N08T
Первомайский 4 12 43600 1R70
Советский 3 6 29800 06I4
Советский 3 3 31780 070V
Московский 4 9 41680 WL12
Октябрьский 1 8 16600 20WN
Первомайский 4 7 34000 0A07
Октябрьский 1 3 17260 T4KH
Советский 3 11 33760 4C56
Советский 3 1 33760 U151
Октябрьский 1 12 19240 K863
Ленинский 4 11 35920 F6GR
Партизанский 1 6 14800 KMC5
Ленинский 2 4 20800 Z953
Советский 2 3 24520 HUP7
Октябрьский 3 5 29800 MY1J
Московский 2 12 30160 3215
Советский 2 6 23200 77LR
Первомайский 2 11 24400 430Z
Заводской 4 2 44320 70KN
Заводской 1 1 19360 CFQI
Московский 1 3 17920 3523
Ленинский 3 1 29440 6N1M
Ленинский 3 7 26200 4975
Октябрьский 4 10 12640 ZK6N
Заводской 1 1 19360 2NM8
Московский 3 9 33760 6HU7
Партизанский 2 6 19600 9KEQ
Первомайский 1 3 16600 7A1M
Заводской 2 6 25600 4595
Заводской 2 7 25600 UK51
Партизанский 2 8 19600 PH65
Партизанский 3 8 24400 3P6L
Партизанский 4 2 31120 BUKP
Партизанский 2 6 19600 0295
Московский 3 10 12160 16G4
Московский 4 9 41680 4A50
Советский 4 12 46960 3N1V
Партизанский 3 12 30160 26QA
Заводской 1 6 17800 Q4GY
Московский 4 9 41680 PRO4
Заводской 1 6 17800 FAAQ
Первомайский 4 12 43600 EF8D
Советский 2 7 23200 C77Z
Первомайский 3 7 28000 8A20
Советский 1 10 10660 8MJ9
Советский 1 10 10660 STB1
Заводской 2 4 25600 APXT
Партизанский 2 8 19600 2Q19
Советский 4 5 36400 6H80
Ленинский 1 8 15400 1FN7
Заводской 3 2 35740 3AHB
Первомайский 4 11 38800 V68F
Советский 3 7 29800 7WE7
Московский 3 12 40240 U3IQ
